Date,Low,Open,Volume,High,Close,Day Result
2021-01-04,59.36000061035156,60.63999938964844,1821600,60.79999923706055,59.61000061035156,0
2021-01-05,58.38999938964844,59.709999084472656,2745100,59.84999847412109,58.54999923706055,0
2021-01-06,58.310001373291016,58.52999877929688,2296600,59.83000183105469,59.72999954223633,1
2021-01-07,57.93999862670898,59.880001068115234,2023900,59.9900016784668,57.95000076293945,0
2021-01-08,57.09999847412109,57.88999938964844,2471600,58.040000915527344,57.68000030517578,0
2021-01-11,56.97999954223633,57.61000061035156,1488600,58.02000045776367,57.130001068115234,0
2021-01-12,55.790000915527344,57.130001068115234,1613600,57.5,56.369998931884766,0
2021-01-13,56.40999984741211,56.43000030517578,1878600,58.0099983215332,57.77000045776367,1
2021-01-14,56.75,57.810001373291016,2136500,58.130001068115234,57.81999969482422,1
2021-01-15,57.58000183105469,57.810001373291016,2463500,58.86000061035156,58.619998931884766,1
2021-01-19,58.15999984741211,59.02000045776367,1694400,59.02000045776367,58.25,0
2021-01-20,57.7599983215332,57.93999862670898,1993800,58.97999954223633,58.70000076293945,1
2021-01-21,57.83000183105469,58.209999084472656,1649300,58.5,58.11000061035156,0
2021-01-22,57.31999969482422,57.970001220703125,1802200,58.56999969482422,58.40999984741211,1
2021-01-25,58.02000045776367,58.2599983215332,1581300,59.88999938964844,59.52000045776367,1
2021-01-26,58.16999816894531,59.41999816894531,1741500,59.41999816894531,58.77999877929688,0
2021-01-27,56.97999954223633,58.209999084472656,2590300,58.91999816894531,57.29999923706055,0
2021-01-28,56.83000183105469,57.36000061035156,3805500,58.369998931884766,57.25,0
2021-01-29,56.209999084472656,56.880001068115234,2474900,57.52000045776367,56.880001068115234,0
2021-02-01,56.52000045776367,57.11000061035156,1541800,58.09000015258789,57.18000030517578,1
2021-02-02,56.83000183105469,57.34999847412109,1398100,58.41999816894531,57.41999816894531,1
2021-02-03,56.88999938964844,57.22999954223633,1324400,57.65999984741211,57.20000076293945,0
2021-02-04,56.0099983215332,56.130001068115234,1584500,57.45000076293945,56.86000061035156,1
2021-02-05,57.130001068115234,58.29999923706055,1904500,58.47999954223633,57.45000076293945,0
2021-02-08,56.04999923706055,57.38999938964844,2412500,57.650001525878906,56.43999862670898,0
2021-02-09,55.56999969482422,56.59000015258789,1659200,57.0,56.58000183105469,0
2021-02-10,56.470001220703125,56.91999816894531,1776600,57.380001068115234,56.93000030517578,1
2021-02-11,56.52000045776367,56.970001220703125,1303000,57.31999969482422,56.58000183105469,0
2021-02-12,55.95000076293945,56.290000915527344,1362200,56.709999084472656,56.380001068115234,1
2021-02-16,55.380001068115234,56.310001373291016,1817300,56.43000030517578,55.45000076293945,0
2021-02-17,55.08000183105469,55.63999938964844,1533600,56.02000045776367,55.83000183105469,1
2021-02-18,55.900001525878906,55.900001525878906,1558700,56.869998931884766,56.619998931884766,1
2021-02-19,55.93000030517578,56.59999847412109,1847000,56.68999862670898,55.97999954223633,0
2021-02-22,53.70000076293945,55.77999877929688,2299600,55.970001220703125,54.77999877929688,0
2021-02-23,54.90999984741211,55.2400016784668,2432700,56.15999984741211,55.68999862670898,1
2021-02-24,54.54999923706055,55.59999847412109,1772800,55.72999954223633,54.56999969482422,0
2021-02-25,54.38999938964844,54.459999084472656,2155200,55.16999816894531,55.060001373291016,1
2021-02-26,54.08000183105469,55.16999816894531,3426300,56.119998931884766,54.11000061035156,0
2021-03-01,54.58000183105469,54.58000183105469,1918100,55.7599983215332,54.81999969482422,1
2021-03-02,54.20000076293945,54.84999847412109,1668300,55.20000076293945,54.880001068115234,1
2021-03-03,53.18999862670898,54.54999923706055,2721300,54.790000915527344,53.880001068115234,0
2021-03-04,53.720001220703125,54.04999923706055,2018000,55.02000045776367,53.90999984741211,0
2021-03-05,54.060001373291016,54.08000183105469,2120100,55.66999816894531,55.369998931884766,1
2021-03-08,55.08000183105469,55.380001068115234,1628100,56.540000915527344,56.150001525878906,1
2021-03-09,55.72999954223633,56.040000915527344,1752300,56.77000045776367,56.52999877929688,1
2021-03-10,56.790000915527344,57.29999923706055,3051400,57.83000183105469,57.09000015258789,0
2021-03-11,56.72999954223633,56.72999954223633,2284300,57.58000183105469,56.7599983215332,1
2021-03-12,56.880001068115234,57.2400016784668,1457200,57.83000183105469,57.540000915527344,1
2021-03-15,57.630001068115234,57.77000045776367,2261200,58.7400016784668,58.5,1
2021-03-16,58.13999938964844,58.22999954223633,2876400,58.959999084472656,58.380001068115234,1
2021-03-17,57.84999847412109,58.52999877929688,1934000,58.560001373291016,57.869998931884766,0
2021-03-18,57.27999877929688,57.84999847412109,2170400,58.22999954223633,58.02999877929688,1
2021-03-19,57.75,58.09000015258789,6263000,59.02999877929688,58.34999847412109,1
2021-03-22,57.91999816894531,58.27000045776367,2437100,58.93999862670898,58.5,1
2021-03-23,58.40999984741211,58.68999862670898,2930500,60.68999862670898,60.52999877929688,1
2021-03-24,59.95000076293945,60.20000076293945,2139000,61.15999984741211,60.880001068115234,1
2021-03-25,60.47999954223633,61.209999084472656,2288500,62.209999084472656,61.09999847412109,0
2021-03-26,60.18999862670898,60.9900016784668,1586400,61.09999847412109,60.93000030517578,0
2021-03-29,60.380001068115234,60.880001068115234,1107700,62.18000030517578,61.91999816894531,1
2021-03-30,60.5099983215332,61.27000045776367,1307600,61.81999969482422,61.02000045776367,0
2021-03-31,60.65999984741211,61.130001068115234,2130300,61.36000061035156,61.220001220703125,1
2021-04-01,60.40999984741211,61.11000061035156,1280600,61.29999923706055,61.02000045776367,0
2021-04-05,61.09999847412109,61.18999862670898,1249200,61.900001525878906,61.47999954223633,1
2021-04-06,60.7599983215332,61.2400016784668,1440400,61.72999954223633,61.709999084472656,1
2021-04-07,60.81999969482422,61.130001068115234,1574500,61.869998931884766,61.13999938964844,1
2021-04-08,60.470001220703125,61.25,2313000,61.369998931884766,60.59999847412109,0
2021-04-09,60.22999954223633,60.54999923706055,2968200,61.02999877929688,60.459999084472656,0
2021-04-12,60.59000015258789,60.97999954223633,2635200,61.459999084472656,60.7599983215332,0
2021-04-13,60.150001525878906,60.369998931884766,2368000,61.79999923706055,61.65999984741211,1
2021-04-14,61.27999877929688,61.52000045776367,2119900,62.22999954223633,62.18000030517578,1
2021-04-15,62.22999954223633,62.2400016784668,2103100,63.40999984741211,63.400001525878906,1
2021-04-16,63.25,63.59000015258789,2251100,64.11000061035156,64.08000183105469,1
2021-04-19,63.70000076293945,64.1500015258789,2607100,64.2699966430664,64.12000274658203,0
2021-04-20,64.04000091552734,64.30000305175781,1799800,65.79000091552734,65.2699966430664,1
2021-04-21,64.72000122070312,65.58000183105469,1513600,65.73999786376953,64.7300033569336,0
2021-04-22,64.2300033569336,64.56999969482422,1196800,64.97000122070312,64.51000213623047,0
2021-04-23,64.02999877929688,64.55999755859375,1422500,64.75,64.12999725341797,0
2021-04-26,63.63999938964844,64.30999755859375,1515400,64.30999755859375,63.95000076293945,0
2021-04-27,63.27000045776367,63.86000061035156,1411500,63.93999862670898,63.31999969482422,0
2021-04-28,62.880001068115234,63.52000045776367,1888600,63.70000076293945,63.04999923706055,0
2021-04-29,62.68999862670898,62.84999847412109,1825000,64.0199966430664,63.95000076293945,1
2021-04-30,63.2599983215332,64.06999969482422,2388500,64.44999694824219,64.38999938964844,1
2021-05-03,64.5199966430664,64.69999694824219,1644300,65.62000274658203,65.02999877929688,1
2021-05-04,64.30000305175781,65.12999725341797,3165700,65.2699966430664,65.19999694824219,1
2021-05-05,63.77000045776367,65.20999908447266,1737600,65.2300033569336,64.19999694824219,0
2021-05-06,63.630001068115234,64.06999969482422,2073800,64.47000122070312,64.43000030517578,1
2021-05-07,63.959999084472656,64.27999877929688,1688200,64.91999816894531,63.9900016784668,0
2021-05-10,64.19999694824219,64.19999694824219,2456400,65.25,64.91000366210938,1
2021-05-11,63.0,65.05999755859375,2003900,65.4000015258789,63.52999877929688,0
2021-05-12,62.41999816894531,63.59000015258789,1763400,63.77000045776367,62.459999084472656,0
2021-05-13,62.369998931884766,62.470001220703125,1658600,63.9900016784668,63.52999877929688,1
2021-05-14,63.47999954223633,63.77000045776367,1323900,64.33000183105469,63.5,0
2021-05-17,62.93000030517578,63.650001525878906,1451800,64.08000183105469,62.97999954223633,0
2021-05-18,62.75,62.75,1613800,63.52999877929688,63.29999923706055,1
2021-05-19,62.72999954223633,63.29999923706055,1609600,63.43999862670898,63.220001220703125,0
2021-05-20,63.29999923706055,63.29999923706055,1750600,64.29000091552734,63.7400016784668,1
2021-05-21,63.63999938964844,63.869998931884766,1665000,64.31999969482422,64.1500015258789,1
2021-05-24,63.720001220703125,64.43000030517578,1609200,64.56999969482422,63.77000045776367,0
2021-05-25,62.86000061035156,63.63999938964844,2179700,63.70000076293945,63.25,0
2021-05-26,61.72999954223633,63.18000030517578,1154000,63.38999938964844,62.95000076293945,0
2021-05-27,62.290000915527344,63.0,2982400,63.09999847412109,62.29999923706055,0
2021-05-28,62.41999816894531,62.68999862670898,1690400,62.93999862670898,62.7400016784668,1
